"","fndRow","",""
"SL18-OI-4",1,0,0
"SL18-OI-5",2,0,0
"SL18-OI-6",3,0,0
"SL18-OI-11",4,0,0
"SL18-OI-15",5,0,0
"SL18-OI-16",6,0,0
"SL18-OI-17",7,0,0
"SL18-OI-18",8,0,0
"SL18-LD-1",9,0,0
"SL18-LD-3",10,0,0
"SL18-LD-4",11,0,0
"SL18-LD-5",12,0,0
"SL18-LD-9",13,0,0
"SL18-LD-10",14,0,0
"SL18-LD-13",15,0,0
"SL18-FW-2",16,0,0
"SL18-FI-1",17,0,0
"SL18-FI-2",18,0,0
"SL18-CC-1",19,0,0
"SL18-CC-2",20,0,0
"SL18-CC-3",21,0,0
"SL18-CC-4",22,0,0
"SL18-CC-5",23,0,0
"SL18-CC-6",24,0,0
"SL18-CC-7",25,0,0
"SL18-CC-8",26,0,0
"SL18-CC-9",27,0,0
"SL18-CC-10",28,0,0
"SL18-CC-11",29,0,0
"SL18-CC-12",30,0,0
"SL18-FW-14",31,0,0
"SL18-NC-2",32,0,0
"SL18-NC-1",33,0,0
"SL18-NC-5",34,0,0
"SL18-JS-6",35,0,0
"SL18-JS-5",36,0,0
"SL18-JS-9",37,0,0
"SL18-NC-8",38,0,0
"SL18-NC-10",39,0,0
"SL18-NC-9",40,0,0
"SL18-NC-12",41,0,0
"SL18-NL-2",42,0,0
"SL18-NL-3",43,0,0
"SL18-NL-5",44,0,0
"SL18-NL-7",45,0,0
"SL18-NL-6",46,0,0
"SL18-NL-9",47,0,0
"SL18-NL-10",48,0,0
"SL18-JS-19",49,0,0
"SL18-JS-16",50,0,0
"SL18-JS-11",51,0,0
"SL18-BL-10",52,0,0
"SL18-BL-11",53,0,0
"SL18-BL-12",54,0,0
"SL18-BL-13",55,0,0
"SL18-BL-14",56,0,0
"SL18-NC-11",57,0,0
"SL18-OD-5",58,0,0
"SA18-CB-9",59,0,0
"SL18-SF-17",60,0,0
"SL18-SF-13",61,0,0
"SL18-LL-9",62,0,0
"SA18-CB-2",63,0,0
"SA18-CB-5",64,0,0
"SL18-LD-2",65,0,0
"SL18-OI-9",66,0,0
"SL18-NC-15",67,0,0
"SA18-CB-4",68,0,0
"SA18-CB-7",69,0,0
"SA18-CB-10",70,0,0
"SL18-OI-14",71,0,0
"SA18-CB-3",72,0,0
"SA18-CB-1",73,0,0
"SL18-OI-2",74,0,0
"SL18-OD-6",75,0,0
"SL18-SF-19",76,0,0
"SL18-OI-7",77,0,0
"SL18-OD-3",78,0,0
"SL18-OI-11-FG3",79,4,NA
"SL18-JS-16-FG3",80,50,NA
"SL18-OI-5-FG5",81,2,NA
"SL18-CC-1-FG2",82,19,NA
"SL18-NC-11-FG1",83,57,NA
"SL18-CC-5-FG2",84,23,NA
"SL18-LD-13-FG2",85,15,NA
"SL18-CC-5-FG3",86,23,NA
"SL18-CC-11-FG3",87,29,NA
"SL18-JS-16-FG1",88,50,NA
"SL18-NC-12-FG2",89,41,NA
"SL18-OD-5-FG1",90,58,NA
"SL18-CC-1-FG3",91,19,NA
"SA18-CB-9-FG1",92,59,NA
"SL18-CC-5-FG1",93,23,NA
"SL18-OI-15-FG1",94,5,NA
"SL18-CC-12-FG3",95,30,NA
